carrier,carrier_name,arr_delay,weather_delay,carrier_delay,nas_delay,avg_rating,num_reviews,arr_flights,arr_del15,delay_rate
AA,American Airlines Network,9046.353979763222,518.798492482897,2948.260784072754,2051.0573921592722,3.566410340459642,50413.0,15995473.0,3347879.0,20.930165678751735
AS,Alaska Airlines Network,2165.5163281684054,67.7491203160689,693.284338539416,579.3189085746034,6.8740258388712965,12906.0,4007634.0,706942.0,17.639884280849998
B6,JetBlue Airways,5777.611982881598,157.27574893009987,1869.7370185449358,1489.5400855920113,7.4836442260269145,12975.0,4839031.0,1181446.0,24.414929352591457
DL,Delta Air Lines Network,5003.720241893822,263.42899686996685,1922.4239827392348,1354.2493998237458,6.022427951371573,64917.0,16812719.0,2718129.0,16.167099444176756
F9,Frontier Airlines,2318.5532150055265,51.004876145894286,635.5038684090762,592.0061764514661,4.274592496558369,25657.0,2262029.0,544207.0,24.05835645785266
HA,Hawaiian Airlines Network,1596.1186014625227,44.95498171846435,990.8983089579525,37.35991773308958,5.90045305244082,3791.0,1477589.0,154636.0,10.465427124863545
NK,Spirit Airlines,4935.251190280742,163.25890658348382,1222.170907896897,2134.133475619767,3.5954579946465146,13184.0,2001837.0,437882.0,21.874008722987938
UA,United Air Lines Network,6315.950061836325,267.95765277837006,1729.8082220990234,1785.0089982515246,3.3246237298581125,63953.0,11584989.0,2280510.0,19.685042428611716
WN,Southwest Airlines,11523.466240918136,397.6432042204637,3207.759729742237,1767.7345550465084,7.005096452387661,30861.0,26529007.0,5017956.0,18.914978611902058
